Region,Year,B_predicted
Obersimmental-Saanen,2021,0.596992
Obersimmental-Saanen,2022,0.607606
Obersimmental-Saanen,2023,0.615690
Obersimmental-Saanen,2024,0.621803
Obersimmental-Saanen,2025,0.626399
Obersimmental-Saanen,2026,0.629841
Obersimmental-Saanen,2027,0.632410
Obersimmental-Saanen,2028,0.634325
Obersimmental-Saanen,2029,0.635749
Obersimmental-Saanen,2030,0.636808
Obersimmental-Saanen,2031,0.637594
Obersimmental-Saanen,2032,0.638178
Obersimmental-Saanen,2033,0.638611
Obersimmental-Saanen,2034,0.638932
Obersimmental-Saanen,2035,0.639171
Obersimmental-Saanen,2036,0.639348
Obersimmental-Saanen,2037,0.639479
Obersimmental-Saanen,2038,0.639576
Obersimmental-Saanen,2039,0.639649
Obersimmental-Saanen,2040,0.639703
Obersimmental-Saanen,2041,0.639743
Obersimmental-Saanen,2042,0.639772
Obersimmental-Saanen,2043,0.639794
Obersimmental-Saanen,2044,0.639811
Obersimmental-Saanen,2045,0.639823
Obersimmental-Saanen,2046,0.639832
Obersimmental-Saanen,2047,0.639839
Obersimmental-Saanen,2048,0.639844
Obersimmental-Saanen,2049,0.639848
Obersimmental-Saanen,2050,0.639850
Olten,2019,0.427990
Olten,2020,0.454030
Olten,2021,0.470807
Olten,2022,0.481258
Olten,2023,0.487642
Olten,2024,0.491500
Olten,2025,0.493819
Olten,2026,0.495212
Olten,2027,0.496048
Olten,2028,0.496551
Olten,2029,0.496854
Olten,2030,0.497037
Olten,2031,0.497147
Olten,2032,0.497215
Olten,2033,0.497256
Olten,2034,0.497281
Olten,2035,0.497296
Olten,2036,0.497306
Olten,2037,0.497311
Olten,2038,0.497315
Olten,2039,0.497317
Olten,2040,0.497319
Olten,2041,0.497319
Olten,2042,0.497320
Olten,2043,0.497320
Olten,2044,0.497321
Olten,2045,0.497321
Olten,2046,0.497321
Olten,2047,0.497321
Olten,2048,0.497321
Olten,2049,0.497321
Olten,2050,0.497321
Ouest lausannois,2019,0.706667
Ouest lausannois,2020,0.766649
Ouest lausannois,2021,0.804037
Ouest lausannois,2022,0.826210
Ouest lausannois,2023,0.838999
Ouest lausannois,2024,0.846273
Ouest lausannois,2025,0.850384
Ouest lausannois,2026,0.852705
Ouest lausannois,2027,0.854017
Ouest lausannois,2028,0.854759
Ouest lausannois,2029,0.855181
Ouest lausannois,2030,0.855422
Ouest lausannois,2031,0.855560
Ouest lausannois,2032,0.855639
Ouest lausannois,2033,0.855684
Ouest lausannois,2034,0.855711
Ouest lausannois,2035,0.855726
Ouest lausannois,2036,0.855735
Ouest lausannois,2037,0.855740
Ouest lausannois,2038,0.855743
Ouest lausannois,2039,0.855745
Ouest lausannois,2040,0.855746
Ouest lausannois,2041,0.855747
Ouest lausannois,2042,0.855747
Ouest lausannois,2043,0.855748
Ouest lausannois,2044,0.855748
Ouest lausannois,2045,0.855748
Ouest lausannois,2046,0.855748
Ouest lausannois,2047,0.855748
Ouest lausannois,2048,0.855748
Ouest lausannois,2049,0.855748
Ouest lausannois,2050,0.855748
PfÃ¤ffikon,2019,0.338673
PfÃ¤ffikon,2020,0.360807
PfÃ¤ffikon,2021,0.376394
PfÃ¤ffikon,2022,0.387013
PfÃ¤ffikon,2023,0.394089
PfÃ¤ffikon,2024,0.398740
PfÃ¤ffikon,2025,0.401772
PfÃ¤ffikon,2026,0.403739
PfÃ¤ffikon,2027,0.405012
PfÃ¤ffikon,2028,0.405835
PfÃ¤ffikon,2029,0.406368
PfÃ¤ffikon,2030,0.406713
PfÃ¤ffikon,2031,0.406937
PfÃ¤ffikon,2032,0.407082
PfÃ¤ffikon,2033,0.407177
PfÃ¤ffikon,2034,0.407239
PfÃ¤ffikon,2035,0.407279
PfÃ¤ffikon,2036,0.407305
PfÃ¤ffikon,2037,0.407322
PfÃ¤ffikon,2038,0.407334
PfÃ¤ffikon,2039,0.407341
PfÃ¤ffikon,2040,0.407346
PfÃ¤ffikon,2041,0.407349
